[2016-10-25 09:40:28,919] : 东方财富开始爬取...
[2016-10-25 09:40:32,336] : 爬取第1页
[2016-10-25 09:40:33,452] : 成功入库11条
[2016-10-25 09:40:44,949] : 爬取第1页
[2016-10-25 09:40:45,990] : 爬取完成，解析0条数据
[2016-10-25 09:40:56,000] : 爬取第1页
[2016-10-25 09:40:56,598] : 爬取完成，解析0条数据
[2016-10-25 09:41:06,623] : 爬取第1页
[2016-10-25 09:41:06,908] : 爬取完成，解析0条数据
[2016-10-25 09:41:16,917] : 爬取第1页
[2016-10-25 09:41:17,759] : 爬取完成，解析0条数据
[2016-10-25 09:41:27,783] : 爬取第1页
[2016-10-25 09:41:28,072] : 爬取完成，解析0条数据
[2016-10-25 09:41:38,081] : 爬取第1页
[2016-10-25 09:41:38,567] : 爬取完成，解析0条数据
[2016-10-25 09:41:48,597] : 爬取第1页
[2016-10-25 09:41:48,815] : 爬取完成，解析0条数据
[2016-10-25 09:41:58,846] : 爬取第1页
[2016-10-25 09:41:59,074] : 爬取完成，解析0条数据
[2016-10-25 09:42:09,083] : 爬取第1页
[2016-10-25 09:42:09,673] : 爬取完成，解析0条数据
[2016-10-25 09:42:19,705] : 爬取第1页
[2016-10-25 09:42:21,893] : 爬取完成，解析0条数据
[2016-10-25 09:42:31,899] : 爬取第1页
[2016-10-25 09:42:32,506] : 爬取完成，解析0条数据
[2016-10-25 09:42:42,518] : 爬取第1页
[2016-10-25 09:42:43,030] : 爬取完成，解析0条数据
[2016-10-25 09:42:53,047] : 爬取第1页
[2016-10-25 09:42:54,205] : 爬取完成，解析0条数据
[2016-10-25 09:43:04,229] : 爬取第1页
[2016-10-25 09:43:05,145] : 爬取完成，解析0条数据
[2016-10-25 09:43:15,155] : 爬取第1页
[2016-10-25 09:43:16,091] : 爬取完成，解析0条数据
[2016-10-25 09:43:26,102] : 爬取第1页
[2016-10-25 09:43:27,077] : 成功入库7条
[2016-10-25 09:43:37,086] : 爬取第1页
[2016-10-25 09:43:37,263] : 爬取完成，解析0条数据
[2016-10-25 09:43:47,276] : 爬取第1页
[2016-10-25 09:43:47,932] : 爬取完成，解析0条数据
[2016-10-25 09:43:57,941] : 爬取第1页
[2016-10-25 09:43:58,315] : 爬取完成，解析0条数据
[2016-10-25 09:44:08,326] : 爬取第1页
[2016-10-25 09:44:10,261] : 爬取完成，解析0条数据
[2016-10-25 09:44:20,272] : 爬取第1页
[2016-10-25 09:44:21,715] : 爬取完成，解析0条数据
[2016-10-25 09:44:31,726] : 爬取第1页
[2016-10-25 09:44:33,052] : 爬取完成，解析0条数据
[2016-10-25 09:44:43,064] : 爬取第1页
[2016-10-25 09:44:44,629] : 爬取完成，解析0条数据
[2016-10-25 09:44:54,656] : 爬取第1页
[2016-10-25 09:44:55,858] : 爬取完成，解析0条数据
[2016-10-25 09:45:05,874] : 爬取第1页
[2016-10-25 09:45:06,683] : 爬取完成，解析0条数据
[2016-10-25 09:45:16,711] : 爬取第1页
[2016-10-25 09:45:17,009] : 爬取完成，解析0条数据
[2016-10-25 09:45:27,039] : 爬取第1页
[2016-10-25 09:45:27,208] : 爬取完成，解析0条数据
[2016-10-25 09:45:37,219] : 爬取第1页
[2016-10-25 09:45:37,401] : 爬取完成，解析0条数据
[2016-10-25 09:45:47,425] : 爬取第1页
[2016-10-25 09:45:47,657] : 爬取完成，解析0条数据
[2016-10-25 09:45:57,669] : 爬取第1页
[2016-10-25 09:45:57,892] : 爬取完成，解析0条数据
[2016-10-25 09:46:07,906] : 爬取第1页
[2016-10-25 09:46:08,631] : 爬取完成，解析0条数据
[2016-10-25 09:46:18,660] : 爬取第1页
[2016-10-25 09:46:18,957] : 爬取完成，解析0条数据
[2016-10-25 09:46:28,986] : 爬取第1页
[2016-10-25 09:46:29,187] : 爬取完成，解析0条数据
[2016-10-25 09:46:39,208] : 爬取第1页
[2016-10-25 09:46:39,506] : 爬取完成，解析0条数据
[2016-10-25 09:46:49,535] : 爬取第1页
[2016-10-25 09:46:50,240] : 爬取完成，解析0条数据
[2016-10-25 09:47:00,249] : 爬取第1页
[2016-10-25 09:47:01,072] : 爬取完成，解析0条数据
[2016-10-25 09:47:11,100] : 爬取第1页
[2016-10-25 09:47:11,338] : 爬取完成，解析0条数据
[2016-10-25 09:47:21,347] : 爬取第1页
[2016-10-25 09:47:21,992] : 爬取完成，解析0条数据
[2016-10-25 09:47:32,015] : 爬取第1页
[2016-10-25 09:47:32,487] : 爬取完成，解析0条数据
[2016-10-25 09:47:42,509] : 爬取第1页
[2016-10-25 09:47:42,918] : 爬取完成，解析0条数据
[2016-10-25 09:47:52,946] : 爬取第1页
[2016-10-25 09:47:53,194] : 爬取完成，解析0条数据
[2016-10-25 09:48:03,211] : 爬取第1页
[2016-10-25 09:48:03,515] : 爬取完成，解析0条数据
[2016-10-25 09:48:13,539] : 爬取第1页
[2016-10-25 09:48:14,379] : 成功入库13条
[2016-10-25 09:48:24,390] : 爬取第1页
[2016-10-25 09:48:25,072] : 爬取完成，解析0条数据
[2016-10-25 09:48:35,094] : 爬取第1页
[2016-10-25 09:48:35,331] : 爬取完成，解析0条数据
[2016-10-25 09:48:45,341] : 爬取第1页
[2016-10-25 09:48:45,905] : 爬取完成，解析0条数据
[2016-10-25 09:48:55,916] : 爬取第1页
[2016-10-25 09:48:57,528] : 爬取完成，解析0条数据
[2016-10-25 09:49:07,547] : 爬取第1页
[2016-10-25 09:49:08,322] : 爬取完成，解析0条数据
[2016-10-25 09:49:18,333] : 爬取第1页
[2016-10-25 09:49:18,933] : 爬取完成，解析0条数据
[2016-10-25 09:49:28,944] : 爬取第1页
[2016-10-25 09:49:30,665] : 爬取完成，解析0条数据
[2016-10-25 09:49:40,694] : 爬取第1页
[2016-10-25 09:49:41,005] : 爬取完成，解析0条数据
[2016-10-25 09:49:51,031] : 爬取第1页
[2016-10-25 09:49:51,273] : 爬取完成，解析0条数据
[2016-10-25 09:50:01,283] : 爬取第1页
[2016-10-25 09:50:01,550] : 爬取完成，解析0条数据
[2016-10-25 09:50:11,574] : 爬取第1页
[2016-10-25 09:50:12,917] : 爬取完成，解析0条数据
[2016-10-25 09:50:22,929] : 爬取第1页
[2016-10-25 09:50:23,310] : 爬取完成，解析0条数据
[2016-10-25 09:50:33,321] : 爬取第1页
[2016-10-25 09:50:35,379] : 爬取完成，解析0条数据
[2016-10-25 09:50:45,390] : 爬取第1页
[2016-10-25 09:50:45,867] : 爬取完成，解析0条数据
[2016-10-25 09:50:55,880] : 爬取第1页
[2016-10-25 09:50:56,856] : 爬取完成，解析0条数据
[2016-10-25 09:51:06,867] : 爬取第1页
[2016-10-25 09:51:08,389] : 爬取完成，解析0条数据
[2016-10-25 09:51:18,415] : 爬取第1页
[2016-10-25 09:51:18,766] : 爬取完成，解析0条数据
[2016-10-25 09:51:28,781] : 爬取第1页
[2016-10-25 09:51:30,326] : 爬取完成，解析0条数据
[2016-10-25 09:51:40,353] : 爬取第1页
[2016-10-25 09:51:40,895] : 爬取完成，解析0条数据
[2016-10-25 09:51:50,923] : 爬取第1页
[2016-10-25 09:51:51,241] : 爬取完成，解析0条数据
[2016-10-25 09:52:01,265] : 爬取第1页
[2016-10-25 09:52:02,548] : 爬取完成，解析0条数据
[2016-10-25 09:52:12,563] : 爬取第1页
[2016-10-25 09:52:14,343] : 爬取完成，解析0条数据
[2016-10-25 09:52:24,354] : 爬取第1页
[2016-10-25 09:52:25,529] : 爬取完成，解析0条数据
[2016-10-25 09:52:35,554] : 爬取第1页
[2016-10-25 09:52:37,410] : 爬取完成，解析0条数据
[2016-10-25 09:52:47,443] : 爬取第1页
[2016-10-25 09:52:48,706] : 爬取完成，解析0条数据
[2016-10-25 09:52:58,718] : 爬取第1页
[2016-10-25 09:53:00,237] : 爬取完成，解析0条数据
[2016-10-25 09:53:10,263] : 爬取第1页
[2016-10-25 09:53:12,837] : 成功入库10条
[2016-10-25 09:53:22,843] : 爬取第1页
[2016-10-25 09:53:23,806] : 爬取完成，解析0条数据
[2016-10-25 09:53:33,817] : 爬取第1页
[2016-10-25 09:53:34,250] : 爬取完成，解析0条数据
[2016-10-25 09:53:44,262] : 爬取第1页
[2016-10-25 09:53:45,112] : 爬取完成，解析0条数据
[2016-10-25 09:53:55,144] : 爬取第1页
[2016-10-25 09:53:57,368] : 爬取完成，解析0条数据
[2016-10-25 09:54:07,388] : 爬取第1页
[2016-10-25 09:54:09,028] : 爬取完成，解析0条数据
[2016-10-25 09:54:19,060] : 爬取第1页
[2016-10-25 09:54:19,352] : 爬取完成，解析0条数据
[2016-10-25 09:54:29,365] : 爬取第1页
[2016-10-25 09:54:29,797] : 爬取完成，解析0条数据
[2016-10-25 09:54:39,810] : 爬取第1页
[2016-10-25 09:54:40,110] : 爬取完成，解析0条数据
[2016-10-25 09:54:50,124] : 爬取第1页
[2016-10-25 09:54:50,307] : 爬取完成，解析0条数据
[2016-10-25 09:55:00,328] : 爬取第1页
[2016-10-25 09:55:00,520] : 爬取完成，解析0条数据
[2016-10-25 09:55:10,556] : 爬取第1页
[2016-10-25 09:55:11,861] : 爬取完成，解析0条数据
